"","spygen_code","protection"
"1","SPY201149",0
"83","SPY201150",2
"2","SPY201151",0
"84","SPY201152",2
"85","SPY201157",2
"86","SPY201158",2
"104","SPY201175",3
"3","SPY201176",0
"4","SPY201177",0
"5","SPY201179",0
"92","SPY201187",2
"105","SPY201191",3
"93","SPY201192",2
"6","SPY201193",0
"94","SPY201198",2
"7","SPY202492",0
"106","SPY202496",3
"107","SPY202498",3
"8","SPY202499",0
"95","SPY202500",2
"9","SPY210647",0
"10","SPY210652",0
"11","SPY210695",0
"12","SPY210696",0
"13","SPY210697",0
"14","SPY210698",0
"15","SPY210699",0
"16","SPY210700",0
"17","SPY210705",0
"18","SPY210710",0
"19","SPY231655",0
"20","SPY231656",0
"21","SPY231657",0
"22","SPY231658",0
"23","SPY231659",0
"108","SPY231660",3
"109","SPY231661",3
"110","SPY231662",3
"111","SPY231663",3
"112","SPY231664",3
"24","SPY231665",0
"25","SPY231666",0
"26","SPY231667",0
"27","SPY231668",0
"75","SPY231677",1
"76","SPY231678",1
"73","SPY231679",1
"74","SPY231680",1
"96","SPY231683",2
"97","SPY231684",2
"98","SPY231685",2
"99","SPY231686",2
"100","SPY231687",2
"101","SPY231688",2
"102","SPY231689",2
"103","SPY231690",2
"81","SPY231697",2
"82","SPY231698",2
"87","SPY231699",2
"88","SPY231700",2
"89","SPY231701",2
"90","SPY231702",2
"77","SPY231703",1
"78","SPY231704",1
"28","SPY231705",0
"29","SPY231706",0
"30","SPY231707",0
"31","SPY231708",0
"32","SPY231709",0
"33","SPY231710",0
"34","SPY231711",0
"35","SPY231712",0
"36","SPY231774",0
"37","SPY231775",0
"38","SPY231776",0
"39","SPY231777",0
"40","SPY231778",0
"41","SPY231779",0
"42","SPY231780",0
"43","SPY231781",0
"44","SPY231782",0
"45","SPY231783",0
"46","SPY231784",0
"47","SPY231785",0
"48","SPY231786",0
"49","SPY231787",0
"50","SPY231788",0
"51","SPY231789",0
"52","SPY231790",0
"53","SPY231791",0
"54","SPY231792",0
"55","SPY231793",0
"56","SPY231794",0
"57","SPY231795",0
"58","SPY231796",0
"59","SPY231797",0
"60","SPY231798",0
"61","SPY231903",0
"62","SPY231904",0
"63","SPY231905",0
"64","SPY231906",0
"65","SPY231907",0
"66","SPY231908",0
"79","SPY231909",1
"80","SPY231910",1
"91","SPY231911",2
"67","SPY231915",0
"68","SPY231916",0
"69","SPY232830",0
"70","SPY232831",0
"71","SPY232833",0
"72","SPY232834",0
